#feature	value	weight	wins	losses
#_bias_	1	-2.7518411508024236	39426642	617872998
capturedStoneCount	1	-0.11328043458530133	592534	10399675
capturedStoneCount	2	-0.8117970446722991	42455	1498296
capturedStoneCount	3	-0.818270887587367	12015	426781
capturedStoneCount	4	-0.7189016712335666	4762	153150
capturedStoneCount	5	-0.5577481546438801	2175	59539
capturedStoneCount	6	-0.4352150331025453	1209	29279
capturedStoneCount	7	-0.11985776706314571	2376	41977
distToLastMove	2	0.46029458360207787	2627452	25986082
distToLastMove	3	-0.13934501977825586	1518911	27362673
distToLastMove	4	-0.8041386989679256	798766	27974479
distToLastMove	5	-1.1206574806844047	1174469	56447713
distToLastMove	6	-1.7366076812653144	620963	55255347
distToLastMove	7	-1.9338011724910056	501208	54320860
distToLastMove	8	-2.318014204030822	492750	78421813
distToLastMove	9	-2.5365650873494925	382300	75705948
distToLastMove	10	-2.7471324629589815	300173	73374575
distToLastMove	11	-2.954852661804598	311843	93825677
distToLastMove	12	-3.1157401211874194	254432	89914554
distToLastMove	13	-3.2513950102370974	215932	87395578
distToLastMove	14	-3.3958518500741994	221351	103512011
distToLastMove	15	-3.5366600330438636	185058	99625236
distToLastMove	16	-3.586849161739002	168898	95605501
distToLastMove	17	-4.03784779529954	2222600	1975084838
enemyAtari	1	-1.0516447147569494	1665520	74710695
influence	1	-2.944151349304927	453723	135060687
influence	2	-2.824785824640847	2047995	541037313
influence	3	-2.4383606884124793	3369679	604873485
influence	4	-2.4291214114483055	2868148	510111375
influence	5	-2.5419448938838034	1525742	303768807
influence	6	-3.1139566426277425	916267	323225546
influence	7	-3.8503928668228853	814712	600230332
saveSelfAtari	1	0.26320543948655073	780094	9396101
selfAtari	1	-2.30196172180916	340721	53362684
pattern	1	-2.662909570432287	123552	27761718
pattern	2	-2.4854578249587584	147968	27841845
pattern	3	-2.5192949430435903	123359	24010232
pattern	4	-3.0164697220235563	86076	27544060
pattern	5	-4.6239372541563695	14984	23927066
pattern	6	-4.346509476521707	2782	3366212
pattern	7	-11.436508010671115	0	92642
pattern	8	-0.42933098563272326	352334	8482426
pattern	9	-0.9247664677951541	216977	8573224
pattern	10	-4.818052073441427	14681	28465601
pattern	11	-5.888398745963376	4988	28205934
pattern	12	-0.8914257807149213	128322	4904017
pattern	13	-4.341885804190355	5514	6641072
pattern	14	-4.661399134546705	3920	6498639
pattern	15	-3.9770713634425734	3276	2739566
pattern	16	-1.0677535584551976	180898	8246369
pattern	17	-1.5540167280306403	66418	4923755
pattern	18	-2.2593229689313725	72867	10935840
pattern	19	-1.2080262956723156	155313	8146227
pattern	20	-5.220501309898792	1016	2946220
pattern	21	-2.344755898008578	60796	9938009
pattern	22	-2.6470630232221546	48321	10686875
