#value	pattern_data	pattern_string	frequency
1	3,0,0	3|...|...|...|	57938
2	3,0,1	3|...|...|..O|	57938
3	3,0,2	3|...|...|.O.|	57938
4	3,1,0	3|...|...|..X|	57938
5	3,2,0	3|...|...|.X.|	57938
6	3,7,7	3|...|...|###|	57938
7	3,79,79	3|..#|..#|###|	57938
8	3,1,2	3|...|...|.OX|	57936
9	3,2,1	3|...|...|.XO|	57936
10	3,0,3	3|...|...|.OO|	57931
11	3,3,0	3|...|...|.XX|	57931
12	3,1,10	3|...|..O|.OX|	57924
13	3,71,7	3|..X|...|###|	57923
14	3,7,71	3|..O|...|###|	57923
15	3,7,135	3|.O.|...|###|	57923
16	3,2,9	3|...|..O|.XO|	57922
17	3,10,1	3|...|..X|.XO|	57909
18	3,1,4	3|...|...|O.X|	57895
19	3,3,8	3|...|..O|.XX|	57895
20	3,105,73	3|..#|X.#|..#|	57891
21	3,0,5	3|...|...|O.O|	57861
22	3,0,12	3|...|..O|O..|	57861
23	3,3,4	3|...|...|OXX|	57854
24	3,2,8	3|...|..O|.X.|	57850
25	3,5,0	3|...|...|X.X|	57840
26	3,1,32	3|...|O..|..X|	57828
27	3,2,64	3|..O|...|.X.|	57822
28	3,12,0	3|...|..X|X..|	57820
29	3,0,10	3|...|..O|.O.|	57780
30	3,105,77	3|..#|X.#|O.#|	57761
31	3,1,6	3|...|...|OOX|	57759
32	3,2,128	3|.O.|...|.X.|	57756
33	3,71,135	3|.OX|...|###|	57755
34	3,1,14	3|...|..O|OOX|	57749
35	3,10,0	3|...|..X|.X.|	57749
36	3,14,1	3|...|..X|XXO|	57706
37	3,1,12	3|...|..O|O.X|	57639
38	3,12,1	3|...|..X|X.O|	57456
39	3,0,13	3|...|..O|O.O|	57426
40	3,0,7	3|...|...|OOO|	57425
41	3,7,0	3|...|...|XXX|	57380
42	3,1,40	3|...|O.O|..X|	57356
43	3,7,199	3|.OO|...|###|	57312
44	3,0,40	3|...|O.O|...|	57309
45	3,13,0	3|...|..X|X.X|	57293
46	3,109,73	3|..#|X.#|X.#|	57225
47	3,40,1	3|...|X.X|..O|	57200
48	3,2,129	3|.O.|...|.XO|	57194
49	3,2,65	3|..O|...|.XO|	57009
50	3,40,0	3|...|X.X|...|	56960
51	3,3,64	3|..O|...|.XX|	56827
52	3,3,128	3|.O.|...|.XX|	56808
53	3,5,8	3|...|..O|X.X|	56805
54	3,1,42	3|...|O.O|.OX|	56789
55	3,12,32	3|...|O.X|X..|	56727
56	3,1,36	3|...|O..|O.X|	56670
57	3,2,192	3|.OO|...|.X.|	56425
58	3,0,41	3|...|O.O|..O|	56390
59	3,3,36	3|...|O..|OXX|	56169
60	3,109,329	3|O.#|X.#|X.#|	56127
61	3,71,391	3|OOX|...|###|	56120
62	3,41,0	3|...|X.X|..X|	55912
63	3,1,260	3|O..|...|O.X|	55896
64	3,42,1	3|...|X.X|.XO|	55871
65	3,0,14	3|...|..O|OO.|	55851
66	3,5,64	3|..O|...|X.X|	55727
67	3,3,72	3|..O|..O|.XX|	55629
68	3,14,0	3|...|..X|XX.|	55570
69	3,1,34	3|...|O..|.OX|	55181
70	3,10,4	3|...|..X|OX.|	55173
71	3,7,327	3|O.O|...|###|	55023
72	3,10,32	3|...|O.X|.X.|	54480
73	3,3,32	3|...|O..|.XX|	54255
74	3,1,96	3|..O|O..|..X|	54246
75	3,2,136	3|.O.|..O|.X.|	54201
76	3,327,7	3|X.X|...|###|	54094
77	3,7,8	3|...|..O|XXX|	53987
78	3,5,2	3|...|...|XOX|	53878
79	3,2,73	3|..O|..O|.XO|	53730
80	3,12,256	3|O..|..X|X..|	53448
81	3,2,96	3|..O|O..|.X.|	53319
82	3,2,137	3|.O.|..O|.XO|	53268
83	3,2,5	3|...|...|OXO|	53140
84	3,10,36	3|...|O.X|OX.|	52945
85	3,3,136	3|.O.|..O|.XX|	52870
86	3,1,256	3|O..|...|..X|	52834
87	3,14,32	3|...|O.X|XX.|	52459
88	3,12,2	3|...|..X|XO.|	52278
89	3,2,72	3|..O|..O|.X.|	52117
90	3,10,5	3|...|..X|OXO|	52041
91	3,105,333	3|O.#|X.#|O.#|	51890
92	3,327,135	3|XOX|...|###|	51476
93	3,0,68	3|..O|...|O..|	50873
94	3,0,70	3|..O|...|OO.|	50640
95	3,71,263	3|O.X|...|###|	50461
96	3,1,106	3|..O|O.O|.OX|	50393
97	3,1,104	3|..O|O.O|..X|	50383
98	3,12,128	3|.O.|..X|X..|	50266
99	3,12,64	3|..O|..X|X..|	50159
100	3,71,143	3|.OX|..O|###|	49744
101	3,40,2	3|...|X.X|.O.|	49579
102	3,40,3	3|...|X.X|.OO|	49470
103	3,106,1	3|..X|X.X|.XO|	49455
104	3,107,77	3|..#|X.#|OX#|	49119
105	3,2,13	3|...|..O|OXO|	49057
106	3,70,0	3|..X|...|XX.|	48978
107	3,3,264	3|O..|..O|.XX|	48959
108	3,3,256	3|O..|...|.XX|	48914
109	3,0,71	3|..O|...|OOO|	48868
110	3,7,64	3|..O|...|XXX|	48689
111	3,12,192	3|.OO|..X|X..|	48428
112	3,13,2	3|...|..X|XOX|	48420
113	3,41,64	3|..O|X.X|..X|	48380
114	3,0,11	3|...|..O|.OO|	48315
115	3,68,0	3|..X|...|X..|	48069
116	3,2,41	3|...|O.O|.XO|	48053
117	3,71,0	3|..X|...|XXX|	47944
118	3,1,288	3|O..|O..|..X|	47793
119	3,79,335	3|O.#|..#|###|	47695
120	3,1,44	3|...|O.O|O.X|	47676
121	3,41,4	3|...|X.X|O.X|	47614
